V1.0,291021
X	Y	TYPE	SPEED	DirType	Direction
65.3552463	40.1215427	3	70	1	250
65.3548172	40.1215756	3	70	1	160
65.3551176	40.1211761	3	70	1	340
65.3663108	40.1151223	3	70	1	70
65.3664771	40.1154765	3	70	1	160
65.3670242	40.1153694	3	70	1	250
65.3668097	40.1150070	3	70	1	340
66.8681079	39.6909719	1	70	1	90
66.8678934	39.6910631	1	70	1	270
66.7335780	39.5391140	1	70	1	278
66.7336961	39.5390143	1	70	1	98
65.3034360	40.1450160	1	70	1	250
59.6196000	42.4652000	3	70	1	78
59.6200150	42.4653100	3	70	1	258
59.6200000	42.4650000	3	70	1	348
59.6197000	42.4655000	3	70	1	168
67.5855700	39.9942600	1	70	1	212
59.6221075	42.4575138	3	70	1	350
59.6310291	42.4457071	3	70	1	312
59.6410670	42.4548650	3	70	1	132
59.6218500	42.4579110	3	70	1	168
59.6417644	42.4549603	3	70	1	222
59.6417108	42.4545392	3	70	1	314
59.6413460	42.4544757	3	70	1	42
59.6305248	42.4457150	3	70	1	46
59.6303532	42.4461044	3	70	1	134
59.6309325	42.4461521	3	70	1	224
59.6222470	42.4578236	3	70	1	256
59.6216784	42.4576409	3	70	1	80
69.3513000	41.3139000	1	70	1	54
67.1544391	39.5399079	1	50	1	124
67.1544391	39.5400000	1	50	1	306
69.2336235	41.3021559	1	70	1	212
71.4885994	40.3515875	1	70	1	242
71.4887067	40.3514685	1	70	1	74
68.7728190	40.5043226	1	60	1	348
68.7726366	40.5042694	1	60	1	168
68.7880182	40.5154345	1	50	1	64
68.7878680	40.5154755	1	50	1	244
68.7382331	40.5808498	1	70	1	168
68.7383994	40.5808498	1	70	1	348
65.3390950	40.1475250	1	70	1	268
69.3267652	41.3049097	1	70	1	264
69.2867438	41.3453586	1	70	1	8
69.2865722	41.3453101	1	70	1	188
69.2347965	41.2441060	1	70	1	88
69.2347589	41.2442437	1	70	1	268
69.2158589	41.2852003	1	70	1	40
69.2157301	41.2852610	1	70	1	220
69.2097950	41.3192210	1	50	1	180
69.2100524	41.3192574	1	50	1	358
69.1724371	41.2307513	1	70	1	150
69.1725820	41.2307797	1	70	1	318
65.2513600	40.1358500	1	70	1	264
65.2479950	40.1353490	1	70	1	82
65.2162942	40.1320151	1	100	1	260
65.1348100	40.1198600	1	70	1	260
64.8310215	40.0586440	1	70	1	272
69.0467000	40.9647120	1	70	1	358
71.0857794	40.4986084	1	70	1	282
71.0857992	40.4984950	1	50	1	106
69.3175485	41.3486622	1	70	1	244
69.3176987	41.3485894	1	70	1	60
68.6671093	40.8648470	1	50	1	10
68.6669376	40.8647900	1	50	1	190
68.6275259	40.5672761	1	100	1	46
68.4472630	40.5260373	1	100	1	126
68.0350631	40.5086617	1	70	1	16
68.0349451	40.5086125	1	70	1	196
69.3136280	41.3257290	1	70	1	184
65.1208622	40.1176734	1	100	1	80
65.1207871	40.1178381	1	100	1	260
65.2913040	40.1413860	1	70	1	70
65.3300111	40.1627518	1	70	1	20
65.3298502	40.1627930	1	70	1	196
65.2464254	40.1897041	1	70	1	296
65.2463932	40.1895724	1	70	1	120
65.2300860	40.1970480	1	70	1	136
65.1897292	40.2209774	1	70	1	140
65.1897936	40.2211337	1	70	1	304
64.5068080	41.2812480	1	100	1	342
64.5066792	41.2812156	1	100	1	162
64.5455750	41.2136360	1	100	1	326
64.5455106	41.2135469	1	100	1	146
64.5900815	41.1313858	1	100	1	160
64.5901781	41.1314426	1	100	1	340
64.5972950	41.1055170	1	100	1	352
64.5971769	41.1054927	1	100	1	172
64.6319523	41.0235227	1	100	1	150
64.6320167	41.0236364	1	100	1	330
